% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0582143	1	1	1	1.26635e-12	0.499891	0
0.0582143	1	4	2	0.00333333	3.94602e+09	0
0.0582143	2	2	1	1.26635e-12	0.499891	0
0.0582143	2	5	2	0.00333333	3.94608e+09	0
0.0582143	3	3	1	1.26643e-12	0.499937	0
0.0582143	3	6	2	0.00333333	3.94606e+09	0
0.0592143	1	1	1	1.26635e-12	0.499891	0
0.0592143	1	4	2	0.00333333	3.94602e+09	0
0.0592143	2	2	1	1.26635e-12	0.499891	0
0.0592143	2	5	2	0.00333333	3.94608e+09	0
0.0592143	3	3	1	1.26643e-12	0.499937	0
0.0592143	3	6	2	0.00333333	3.94606e+09	0
0.0602143	1	1	1	1.26635e-12	0.499891	0
0.0602143	1	4	2	0.00333333	3.94602e+09	0
0.0602143	2	2	1	1.26635e-12	0.499891	0
0.0602143	2	5	2	0.00333333	3.94608e+09	0
0.0602143	3	3	1	1.26643e-12	0.499937	0
0.0602143	3	6	2	0.00333333	3.94607e+09	0
0.0612143	1	1	1	1.26635e-12	0.499891	0
0.0612143	1	4	2	0.00333333	3.94602e+09	0
0.0612143	2	2	1	1.26635e-12	0.499891	0
0.0612143	2	5	2	0.00333333	3.94608e+09	0
0.0612143	3	3	1	1.26643e-12	0.499937	0
0.0612143	3	6	2	0.00333333	3.94607e+09	0
0.0622143	1	1	1	1.26635e-12	0.499891	0
0.0622143	1	4	2	0.00333333	3.94601e+09	0
0.0622143	2	2	1	1.26635e-12	0.499891	0
0.0622143	2	5	2	0.00333333	3.94608e+09	0
0.0622143	3	3	1	1.26643e-12	0.499937	0
0.0622143	3	6	2	0.00333333	3.94607e+09	0
0.0632143	1	1	1	1.26635e-12	0.499891	0
0.0632143	1	4	2	0.00333333	3.94601e+09	0
0.0632143	2	2	1	1.26635e-12	0.499891	0
0.0632143	2	5	2	0.00333333	3.94608e+09	0
0.0632143	3	3	1	1.26643e-12	0.499937	0
0.0632143	3	6	2	0.00333333	3.94607e+09	0
0.0642143	1	1	1	1.26635e-12	0.499891	0
0.0642143	1	4	2	0.00333333	3.94601e+09	0
0.0642143	2	2	1	1.26635e-12	0.499891	0
0.0642143	2	5	2	0.00333333	3.94608e+09	0
0.0642143	3	3	1	1.26643e-12	0.499937	0
0.0642143	3	6	2	0.00333333	3.94607e+09	0
0.0652143	1	1	1	1.26635e-12	0.499891	0
0.0652143	1	4	2	0.00333333	3.94601e+09	0
0.0652143	2	2	1	1.26635e-12	0.499891	0
0.0652143	2	5	2	0.00333333	3.94608e+09	0
0.0652143	3	3	1	1.26643e-12	0.499937	0
0.0652143	3	6	2	0.00333333	3.94608e+09	0
0.0662143	1	1	1	1.26635e-12	0.499891	0
0.0662143	1	4	2	0.00333333	3.94601e+09	0
0.0662143	2	2	1	1.26635e-12	0.499891	0
0.0662143	2	5	2	0.00333333	3.94608e+09	0
0.0662143	3	3	1	1.26643e-12	0.499937	0
0.0662143	3	6	2	0.00333333	3.94608e+09	0
0.0672143	1	1	1	1.26635e-12	0.499891	0
0.0672143	1	4	2	0.00333333	3.94601e+09	0
0.0672143	2	2	1	1.26635e-12	0.499891	0
0.0672143	2	5	2	0.00333333	3.94608e+09	0
0.0672143	3	3	1	1.26643e-12	0.499937	0
0.0672143	3	6	2	0.00333333	3.94608e+09	0
0.0682143	1	1	1	1.26635e-12	0.499891	0
0.0682143	1	4	2	0.00333333	3.946e+09	0
0.0682143	2	2	1	1.26635e-12	0.499891	0
0.0682143	2	5	2	0.00333333	3.94608e+09	0
0.0682143	3	3	1	1.26643e-12	0.499937	0
0.0682143	3	6	2	0.00333333	3.94608e+09	0
0.0692143	1	1	1	1.26635e-12	0.499891	0
0.0692143	1	4	2	0.00333333	3.946e+09	0
0.0692143	2	2	1	1.26635e-12	0.499891	0
0.0692143	2	5	2	0.00333333	3.94608e+09	0
0.0692143	3	3	1	1.26643e-12	0.499937	0
0.0692143	3	6	2	0.00333333	3.94608e+09	0
0.0702143	1	1	1	1.26635e-12	0.499891	0
0.0702143	1	4	2	0.00333333	3.946e+09	0
0.0702143	2	2	1	1.26635e-12	0.499891	0
0.0702143	2	5	2	0.00333333	3.94608e+09	0
0.0702143	3	3	1	1.26643e-12	0.499937	0
0.0702143	3	6	2	0.00333333	3.94608e+09	0
0.0712143	1	1	1	1.26635e-12	0.499891	0
0.0712143	1	4	2	0.00333333	3.946e+09	0
0.0712143	2	2	1	1.26635e-12	0.499891	0
0.0712143	2	5	2	0.00333333	3.94608e+09	0
0.0712143	3	3	1	1.26643e-12	0.499937	0
0.0712143	3	6	2	0.00333333	3.94609e+09	0
0.0722143	1	1	1	1.26635e-12	0.499891	0
0.0722143	1	4	2	0.00333333	3.946e+09	0
0.0722143	2	2	1	1.26635e-12	0.499891	0
0.0722143	2	5	2	0.00333333	3.94608e+09	0
0.0722143	3	3	1	1.26643e-12	0.499937	0
0.0722143	3	6	2	0.00333333	3.94609e+09	0
0.0732143	1	1	1	1.26635e-12	0.499891	0
0.0732143	1	4	2	0.00333333	3.94599e+09	0
0.0732143	2	2	1	1.26635e-12	0.499891	0
0.0732143	2	5	2	0.00333333	3.94608e+09	0
0.0732143	3	3	1	1.26643e-12	0.499937	0
0.0732143	3	6	2	0.00333333	3.94609e+09	0
0.0742143	1	1	1	1.26635e-12	0.499891	0
0.0742143	1	4	2	0.00333333	3.94599e+09	0
0.0742143	2	2	1	1.26635e-12	0.499891	0
0.0742143	2	5	2	0.00333333	3.94608e+09	0
0.0742143	3	3	1	1.26643e-12	0.499937	0
0.0742143	3	6	2	0.00333333	3.94609e+09	0
0.0752143	1	1	1	1.26635e-12	0.499891	0
0.0752143	1	4	2	0.00333333	3.94599e+09	0
0.0752143	2	2	1	1.26635e-12	0.499891	0
0.0752143	2	5	2	0.00333333	3.94608e+09	0
0.0752143	3	3	1	1.26643e-12	0.499937	0
0.0752143	3	6	2	0.00333333	3.94609e+09	0
0.0762143	1	1	1	1.26635e-12	0.499891	0
0.0762143	1	4	2	0.00333333	3.94599e+09	0
0.0762143	2	2	1	1.26635e-12	0.499891	0
0.0762143	2	5	2	0.00333333	3.94608e+09	0
0.0762143	3	3	1	1.26643e-12	0.499937	0
0.0762143	3	6	2	0.00333333	3.9461e+09	0
0.0772143	1	1	1	1.26635e-12	0.499891	0
0.0772143	1	4	2	0.00333333	3.94599e+09	0
